管線材質	ORDER_SEQ	0	SIZE1	SIZE2	SCH1	SCH2	SIZE_LAYOUT	厚度	UNIT	IDENT_CODE	用料時機	採購量	可領用量	合計	合計2	-	A	B	D	E	合計.1	-.1	A.1	B.1	D.1	E.1	需求總計	-.2	A.2	B.2	D.2	E.2	缺料總計	先不領	可領料	CHECK	-.3	A.3	B.3	D.3	E.3	領料總計	7/2	7/9	7/11	8/15	Unnamed: 47	7/2.1	7/10	8/15.1	Unnamed: 51	7/2.2	7/10.1	7/11.1	8/15.2	Unnamed: 56	7/2.3	7/10.2	8/15.3	Unnamed: 60	7/2.4	7/10.3	7/11.2	8/15.4
碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	4	 	S-120	 	"4"" S-120"	11.13	M	P100758	預製	18		13.3	13.3	0	0	0	13.3	0	13.3	0	0	0	18	0	18	0	0	0	-18	0	-18				0	0	0	0	0	0																						
碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	4	 	S-160	 	"4"" S-160"	13.49	M	P46905	預製	6		0.2	0.2	0	0	0.2	0	0	0.2	0	0	6	0	0	6	0	0	-6	0	0	-6				0	0	0	0	0	0																						
碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	4	 	S-40	 	"4"" S-40"	6.02	M	P211707	預製	210		35.6	35.6	0	0	35.6	0	0	35.6	0	0	42	0	0	42	0	0	-42	0	0	-42				0	0	0	0	0	0																						
碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	3	 	S-160	 	"3"" S-160"	11.13	M	P46863	預製	6		0.8	0.8	0	0	0.8	0	0	0.8	0	0	6	0	0	6	0	0	-6	0	0	-6				0	0	0	0	0	0																						
碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	3	 	S-40	 	"3"" S-40"	5.49	M	P211677	預製	114		32.6	32.6	0	0	32.6	0	0	32.6	0	0	36	0	0	36	0	0	-36	0	0	-36				0	0	0	0	0	0																						
碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	2	 	S-160	 	"2"" S-160"	8.74	M	P98370	預製	174		80.19999999999999	80.2	0	0	80.2	0	0	80.2	0	0	90	0	0	90	0	0	-90	0	0	-90				0	0	0	0	0	0																						
碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	2	 	S-80	 	"2"" S-80"	5.54	M	P75659	預製	54		17.299999999999997	17.3	0	0	17.3	0	0	17.3	0	0	24	0	0	24	0	0	-12	0	0	-12				0	0	12	0	0	12										12												
碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	1.5	 	S-160	 	"1-1/2"" S-160"	7.14	M	P64172	預製	6		0.1	0.1	0	0	0	0.1	0	0.1	0	0	0	6	0	6	0	0	0	-6	0	-6				0	0	0	0	0	0																						
碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	1	 	S-160	 	"1"" S-160"	6.35	M	P64128	預製	252		229.20000000000002	228.6	0	0	0	228.6	0	228.6	0	0	0	252	0	252	0	0	0	-252	0	-252				0	0	0	0	0	0																						
碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	0.75	 	S-160	 	"3/4"" S-160"	5.56	M	P64100	預製	6		0.30000000000000004	0.30000000000000004	0	0	0	0.30000000000000004	0	0.30000000000000004	0	0	0	6	0	6	0	0	0	-6	0	-6				0	0	0	0	0	0																						
碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	0.75	 	XXS	 	"3/4"" XXS"	7.82	M	P72847	預製	180		7.8999999999999995	7.8999999999999995	0	0	7.8999999999999995	0	0	7.8999999999999995	0	0	12	0	0	12	0	0	-12	0	0	-12				0	0	0	0	0	0																						
碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	0.5	 	S-160	 	"1/2"" S-160"	4.78	M	P64075	預製	294		0.4	0.4	0	0	0.4	0	0	0.4	0	0	6	0	0	6	0	0	-6	0	0	-6				0	0	0	0	0	0																						
碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE(IMPACT TEST at -1 DEG. C)	8	 	S-140	 	"8"" S-140"	20.62	M	P44818	預製	48		41.900000000000006	41.9	0	0	39	2.9	0	41.9	0	0	48	6	0	54	0	0	-48	-6	0	-54		6	V	0	0	0	0	0	0																						
碳鋼	102	PIPE SMLS PE CS A106-B  ASME   	1.5	 	S-80	 	"1-1/2"" S-80"	5.08	M	P24908	預製	624		304.79999999999995	304.8	0	301.6	0.3	2.9000000000000004	0	304.8	0	336	0	6	0	342	0	0	0	-6	0	-6				0	336	0	0	0	336						336																
碳鋼	102	PIPE SMLS PE CS A106-B  ASME   	1	 	S-160	 	"1"" S-160"	6.35	M	P24900	預製	6		4.6	4.6	0	0	4.6	0	0	4.6	0	0	6	0	0	6	0	0	-6	0	0	-6				0	0	0	0	0	0																						
碳鋼	102	PIPE SMLS PE CS A106-B  ASME   	1	 	S-80	 	"1"" S-80"	4.55	M	P24910	預製	1818		840.0999999999998	829.5000000000002	0	547.6000000000001	107.10000000000004	174.79999999999995	0	829.5000000000001	0	606	120	192	0	918	0	0	0	-48	0	-48				0	606	120	144	0	870						606				120					144							
碳鋼	102	PIPE SMLS PE CS A106-B  ASME   	0.75	 	S-80	 	"3/4"" S-80"	3.91	M	P24911	預製	588		215.39999999999992	195.29999999999993	0	88.8	53.599999999999994	52.900000000000006	0	195.29999999999998	0	102	60	60	0	222	0	-102	-60	-60	0	-222				0	0	0	0	0	0																						
碳鋼	102	PIPE SMLS PE CS A106-B  ASME   	0.5	 	S-160	 	"1/2"" S-160"	4.78	M	P24902	預製	6		0.3	0.3	0	0	0	0.3	0	0.3	0	0	0	6	0	6	0	0	0	-6	0	-6				0	0	0	0	0	0																						
碳鋼	102	PIPE SMLS PE CS A106-B  ASME   	0.5	 	S-80	 	"1/2"" S-80"	3.73	M	P24912	預製	1452		346.4	346.40000000000003	0	0.3	345.1000000000001	1	0	346.4000000000001	0	0	384	0	0	384	0	0	-384	0	0	-384				0	0	0	0	0	0																						
碳鋼	102	PIPE SMLS PE CS A106-B  ASME  NACE	1.5	 	S-80	 	"1-1/2"" S-80"	5.08	M	P76243	預製	48		40.699999999999996	40.699999999999996	0	0	40.699999999999996	0	0	40.699999999999996	0	0	48	0	0	48	0	0	-48	0	0	-48				0	0	0	0	0	0																						
碳鋼	102	PIPE SMLS PE CS A106-B  ASME  NACE	1	 	S-160	 	"1"" S-160"	6.35	M	P98428	預製	78		19.2	14.900000000000002	0	0	14.900000000000002	0	0	14.900000000000002	0	0	18	0	0	18	0	0	-18	0	0	-18				0	0	0	0	0	0																						
碳鋼	102	PIPE SMLS PE CS A106-B  ASME  NACE	1	 	S-80	 	"1"" S-80"	4.55	M	P76202	預製	18		1.2000000000000002	1.2	0	0	1.2	0	0	1.2	0	0	6	0	0	6	0	0	-6	0	0	-6				0	0	0	0	0	0																						
碳鋼	102	PIPE SMLS PE CS A106-B  ASME  NACE	0.75	 	S-160	 	"3/4"" S-160"	5.56	M	P104959	預製	48		0.2	0.2	0	0	0.2	0	0	0.2	0	0	6	0	0	6	0	0	-6	0	0	-6				0	0	0	0	0	0																						
碳鋼	102	PIPE SMLS PE CS A106-B  ASME  NACE	0.75	 	S-80	 	"3/4"" S-80"	3.91	M	P76177	預製	6		0.2	0.2	0	0	0.2	0	0	0.2	0	0	6	0	0	6	0	0	-6	0	0	-6				0	0	0	0	0	0																						
碳鋼	102	PIPE SMLS PE CS A106-B  ASME  NACE	0.5	 	S-80	 	"1/2"" S-80"	3.73	M	P76153	預製	6		0.8	0.8	0	0	0.8	0	0	0.8	0	0	6	0	0	6	0	0	-6	0	0	-6				0	0	0	0	0	0																						
碳鋼	121	"PIPE NIPPLE SMLS PE/ TE CS A106-B L=100MM(4"") ASME   "	0.75	 	S-80	 	"3/4"" S-80"	3.91	PC	P48804	預製	1		1	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0				0	0	0	1	0	1															1							
碳鋼	121	"PIPE NIPPLE SMLS PE/ TE CS A106-B L=75MM (3"") ASME   "	1.5	 	S-80	 	"1-1/2"" S-80"	5.08	PC	P38041	預製	1		1	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0				0	1	0	0	0	1						1																
碳鋼	121	"PIPE NIPPLE SMLS PE/ TE CS A106-B L=75MM (3"") ASME   "	0.75	 	S-80	 	"3/4"" S-80"	3.91	PC	P08425	預製	95		37	36	0	13	3	20	0	36	0	13	3	20	0	36	0	1	0	0	0	1				0	14	3	20	0	37						14				3					20							
碳鋼	121	"PIPE NIPPLE SMLS TBE CS A106-B L=75MM (3"") ASME  NACE"	0.75	 	S-80	 	"3/4"" S-80"	3.91	PC	P55325	預製	6		5	5	0	0	5	0	0	5	0	0	5	0	0	5	0	0	0	0	0	0				0	0	5	0	0	5										5												
碳鋼	301	45 ELBOW CL3000 SW CS A105  ASME   	1.5	 	 	 	"1-1/2"""		PC	N00369	預製	17		7	7	0	7	0	0	0	7	0	7	0	0	0	7	0	0	0	0	0	0				0	7	0	0	0	7						7																
碳鋼	301	45 ELBOW CL3000 SW CS A105  ASME   	1	 	 	 	"1"""		PC	N00368	預製	48		22	22	0	13	6	3	0	22	0	13	6	3	0	22	0	0	0	0	0	0				0	13	6	3	0	22						13				6					3							
碳鋼	301	45 ELBOW CL3000 SW CS A105  ASME   	0.75	 	 	 	"3/4"""		PC	N00367	預製	4		3	3	0	1	0	2	0	3	0	1	0	2	0	3	0	0	0	-1	0	-1				0	1	0	1	0	2						1									1							
碳鋼	301	45 ELBOW CL3000 SW CS A105  ASME   	0.5	 	 	 	"1/2"""		PC	N00366	預製	20		3	3	0	0	0	3	0	3	0	0	0	3	0	3	0	0	0	0	0	0				0	0	0	3	0	3															3							
碳鋼	301	45 ELBOW CL3000 SW CS A105  ASME  NACE	1.5	 	 	 	"1-1/2"""		PC	N195579	預製	1		1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0				0	0	1	0	0	1										1												
碳鋼	301	45 ELBOW SMLS BW CS A234-WPB  ASME   	8	 	S-80	 	"8"" S-80"	12.7	PC	N03198	預製	6		4	4	0	0	0	4	0	4	0	0	0	4	0	4	0	0	0	-3	0	-3				0	0	0	1	0	1																	1					
碳鋼	301	45 ELBOW SMLS BW CS A234-WPB  ASME   	6	 	S-40	 	"6"" S-40"	7.11	PC	N03235	預製	12		4	4	0	0	2	2	0	4	0	0	2	2	0	4	0	0	0	0	0	0				0	0	2	2	0	4											2					1	1					
碳鋼	301	45 ELBOW SMLS BW CS A234-WPB  ASME   	4	 	S-40	 	"4"" S-40"	6.02	PC	N03237	預製	8		5	5	0	2	3	0	0	5	0	2	3	0	0	5	0	-2	-3	0	0	-5				0	0	0	0	0	0																						
碳鋼	301	45 ELBOW SMLS BW CS A234-WPB  ASME   	3	 	S-40	 	"3"" S-40"	5.49	PC	N03238	預製	11		4	4	0	0	0	4	0	4	0	0	0	4	0	4	0	0	0	0	0	0				0	0	0	4	0	4																4						
碳鋼	301	45 ELBOW SMLS BW CS A234-WPB  ASME   	2	 	S-80	 	"2"" S-80"	5.54	PC	N03204N03234	預製	17		7	7	17	5	2			24	17	5	2	0	0	24	-15	0	-2	0	0	-17				2	5	0	0	0	7	2					5																
碳鋼	301	45 ELBOW SMLS BW CS A234-WPB  ASME  NACE	6	 	S-160	 	"6"" S-160"	18.26	PC	N48090	預製	2		2	2	0	0	0	2	0	2	0	0	0	2	0	2	0	0	0	-2	0	-2		2	V	0	0	0	0	0	0																						
碳鋼	301	45 ELBOW SMLS BW CS A234-WPB  ASME  NACE	6	 	S-40	 	"6"" S-40"	7.11	PC	N214200	預製	5		2	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	-2	0	0	-2				0	0	0	0	0	0																						
碳鋼	301	45 ELBOW SMLS BW CS A234-WPB  ASME  NACE	4	 	S-120	 	"4"" S-120"	11.13	PC	N147272	預製	2		2	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	-2	0	0	-2				0	0	0	0	0	0																						
碳鋼	301	45 ELBOW SMLS BW CS A234-WPB  ASME  NACE	4	 	S-40	 	"4"" S-40"	6.02	PC	N214158	預製	5		2	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	0	0	0	0				0	0	2	0	0	2											2											
碳鋼	301	45 ELBOW SMLS BW CS A234-WPB  ASME  NACE	2	 	S-160	 	"2"" S-160"	8.74	PC	N121689	預製	3		3	3	0	0	3	0	0	3	0	0	3	0	0	3	0	0	-2	0	0	-2				0	0	1	0	0	1										1												
碳鋼	301	45 ELBOW SMLS BW CS A234-WPB  ASME  NACE	2	 	S-80	 	"2"" S-80"	5.54	PC	N119063	預製	5		2	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	0	0	0	0				0	0	2	0	0	2										2												
碳鋼	301	45 ELBOW SMLS BW CS A234-WPB  ASME  NACE	1	 	S-160	 	"1"" S-160"	6.35	PC	N89655	預製	1		1	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0				0	0	0	1	0	1															1							
碳鋼	301	45 ELBOW SMLS BW CS A234-WPB  ASME  NACE	0.75	 	XXS	 	"3/4"" XXS"	7.82	PC	N103553	預製	1		1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	-1	0	0	-1				0	0	0	0	0	0																						
碳鋼	303	90 ELBOW CL3000 SW CS A105  ASME   	1.5	 	 	 	"1-1/2"""		PC	N00373	預製	291		156	156	0	153	1	2	0	156	0	153	1	2	0	156	0	0	0	0	0	0				0	153	1	2	0	156						153				1					2							
碳鋼	303	90 ELBOW CL3000 SW CS A105  ASME   	1	 	 	 	"1"""		PC	N00372	預製	784		389	384	0	205	88	91	0	384	0	205	88	91	0	384	0	184	-88	-91	0	5				0	389	0	0	0	389						389																
碳鋼	303	90 ELBOW CL3000 SW CS A105  ASME   	0.75	 	 	 	"3/4"""		PC	N00371	預製	296		85	75	0	30	16	29	0	75	0	30	16	29	0	75	0	55	-16	-29	0	10				0	85	0	0	0	85						85																
碳鋼	303	90 ELBOW CL3000 SW CS A105  ASME   	0.5	 	 	 	"1/2"""		PC	N00370	預製	802		125	125	0	0	125	0	0	125	0	0	125	0	0	125	0	0	0	0	0	0				0	0	125	0	0	125										125												
碳鋼	303	90 ELBOW CL3000 SW CS A105  ASME  NACE	1.5	 	 	 	"1-1/2"""		PC	N195584	預製	20		19	19	0	0	19	0	0	19	0	0	19	0	0	19	0	0	0	0	0	0				0	0	19	0	0	19										19												
碳鋼	303	90 ELBOW CL3000 SW CS A105  ASME  NACE	1	 	 	 	"1"""		PC	N195582	預製	11		8	8	0	0	8	0	0	8	0	0	8	0	0	8	0	2	-8	0	0	-6				0	2	0	0	0	2						2																
碳鋼	303	90 ELBOW CL3000 SW CS A105  ASME  NACE	0.75	 	 	 	"3/4"""		PC	N195581	預製	11		2	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	0	0	0	0				0	0	2	0	0	2										2												
碳鋼	303	90 ELBOW CL6000 SW CS A105  ASME   	1	 	 	 	"1"""		PC	N01247	預製	2		2	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	-2	0	0	-2				0	0	0	0	0	0																						
碳鋼	303	90 ELBOW CL6000 SW CS A105  ASME  NACE	1	 	 	 	"1"""		PC	N126021	預製	28		7	2	0	0	2	0	0	2	0	0	2	0	0	2	0	7	-2	0	0	5				0	7	0	0	0	7						7																
碳鋼	303	90 ELBOW SMLS BW CS A234-WPB  ASME   	8	 	S-40	 	"8"" S-40"	8.18	PC	N02014	預製	73		17	17	0	0	0	17	0	17	0	0	0	17	0	17	0	0	0	0	0	0				0	0	0	17	0	17																5	12					
碳鋼	303	90 ELBOW SMLS BW CS A234-WPB  ASME   	6	 	S-40	 	"6"" S-40"	7.11	PC	N02015	預製	115		38	38	0	6	0	32	0	38	0	6	0	32	0	38	0	0	0	0	0	0				0	6	0	32	0	38							6									29	3					
碳鋼	303	90 ELBOW SMLS BW CS A234-WPB  ASME   	4	 	S-40	 	"4"" S-40"	6.02	PC	N02017	預製	119		47	47	0	15	3	29	0	47	0	15	3	29	0	47	0	0	0	0	0	0				0	15	3	29	0	47							15				3					19	10					
碳鋼	303	90 ELBOW SMLS BW CS A234-WPB  ASME   	3	 	S-40	 	"3"" S-40"	5.49	PC	N02018	預製	130		72	72	0	25	3	44	0	72	0	25	3	44	0	72	0	0	0	0	0	0				0	25	3	44	0	72							25				3					14	30					
碳鋼	303	90 ELBOW SMLS BW CS A234-WPB  ASME   	2	 	S-80	 	"2"" S-80"	5.54	PC	N01981	預製	202		107	107	0	69	8	30	0	107	0	69	8	30	0	107	0	0	0	0	0	0				0	69	8	30	0	107						69				8					30							
碳鋼	303	90 ELBOW SMLS BW CS A234-WPB  ASME  NACE	6	 	S-160	 	"6"" S-160"	18.26	PC	N35505	預製	18		17	17	0	0	14	3	0	17	0	0	14	3	0	17	0	0	-14	-3	0	-17		2	V	0	0	0	0	0	0																						
碳鋼	303	90 ELBOW SMLS BW CS A234-WPB  ASME  NACE	6	 	S-40	 	"6"" S-40"	7.11	PC	N215112	預製	18		5	5	0	0	5	0	0	5	0	0	5	0	0	5	0	0	-5	0	0	-5				0	0	0	0	0	0																						
碳鋼	303	90 ELBOW SMLS BW CS A234-WPB  ASME  NACE	4	 	S-120	 	"4"" S-120"	11.13	PC	N147835	預製	6		6	6	0	0	0	6	0	6	0	0	0	6	0	6	0	0	0	-6	0	-6				0	0	0	0	0	0																						
碳鋼	303	90 ELBOW SMLS BW CS A234-WPB  ASME  NACE	4	 	S-40	 	"4"" S-40"	6.02	PC	N215070	預製	54		3	3	0	0	3	0	0	3	0	0	3	0	0	3	0	0	-3	0	0	-3				0	0	0	0	0	0																						
碳鋼	303	90 ELBOW SMLS BW CS A234-WPB  ASME  NACE	3	 	S-40	 	"3"" S-40"	5.49	PC	N215040	預製	8		2	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	0	0	0	0				0	0	2	0	0	2											2											
碳鋼	303	90 ELBOW SMLS BW CS A234-WPB  ASME  NACE	2	 	S-160	 	"2"" S-160"	8.74	PC	N121978	預製	46		23	23	0	0	23	0	0	23	0	0	23	0	0	23	0	0	0	0	0	0				0	0	23	0	0	23													23									
碳鋼	303	90 ELBOW SMLS BW CS A234-WPB  ASME  NACE	2	 	S-80	 	"2"" S-80"	5.54	PC	N119562	預製	25		8	8	0	0	8	0	0	8	0	0	8	0	0	8	0	0	0	0	0	0				0	0	8	0	0	8										8												
碳鋼	303	90 ELBOW SMLS BW CS A234-WPB  ASME  NACE	1	 	S-160	 	"1"" S-160"	6.35	PC	N90466	預製	90		86	86	0	0	0	86	0	86	0	0	0	86	0	86	0	0	0	0	0	0				0	0	0	86	0	86																	86					
碳鋼	303	90 ELBOW SMLS BW CS A234-WPB  ASME  NACE	0.75	 	XXS	 	"3/4"" XXS"	7.82	PC	N104540	預製	145		13	13	0	0	13	0	0	13	0	0	13	0	0	13	0	0	0	0	0	0				0	0	13	0	0	13													13									
碳鋼	303	90 ELBOW SMLS BW CS A234-WPB  ASME  NACE	0.5	 	S-160	 	"1/2"" S-160"	4.78	PC	N90413	預製	160		11	11	0	0	8	3	0	11	0	0	8	3	0	11	0	0	0	0	0	0				0	0	8	3	0	11										8					3							
碳鋼	303	90 ELBOW SMLS BW CS A234-WPB  ASME  NACE(IMPACT TEST at -1 DEG. C)	8	 	S-140	 	"8"" S-140"	20.62	PC	N75555	預製	3		3	3	0	0	3	0	0	3	0	0	3	0	0	3	0	0	-3	0	0	-3				0	0	0	0	0	0																						
碳鋼	311	TEE CL3000 SW CS A105  ASME   	1.5	 	 	 	"1-1/2"""		PC	S00121	預製	27		15	15	0	14	1	0	0	15	0	14	1	0	0	15	0	0	0	0	0	0				0	14	1	0	0	15						14				1												
碳鋼	311	TEE CL3000 SW CS A105  ASME   	1	 	 	 	"1"""		PC	S00120	預製	87		57	57	0	22	26	9	0	57	0	22	26	9	0	57	0	0	0	0	0	0				0	22	26	9	0	57						22				26					9							
碳鋼	311	TEE CL3000 SW CS A105  ASME   	0.75	 	 	 	"3/4"""		PC	S00119	預製	46		13	13	0	4	0	9	0	13	0	4	0	9	0	13	0	0	0	0	0	0				0	4	0	9	0	13						4									9							
碳鋼	311	TEE CL3000 SW CS A105  ASME  NACE	1.5	 	 	 	"1-1/2"""		PC	S298005	預製	2		2	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	0	0	0	0				0	0	2	0	0	2										2												
碳鋼	311	TEE CL3000 SW CS A105  ASME  NACE	1	 	 	 	"1"""		PC	S298003	預製	2		2	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	0	0	0	0				0	0	2	0	0	2										2												
碳鋼	311	TEE CL6000 SW CS A105  ASME  NACE	1	 	 	 	"1"""		PC	S195631	預製	5		3	3	0	0	3	0	0	3	0	0	3	0	0	3	0	0	0	0	0	0				0	0	3	0	0	3										3												
碳鋼	311	TEE SMLS BW CS A234-WPB  ASME   	8	 	S-40	 	"8"" S-40"	8.18	PC	S06651	預製	11		3	3	0	0	0	3	0	3	0	0	0	3	0	3	0	0	0	0	0	0				0	0	0	3	0	3																	3					
碳鋼	311	TEE SMLS BW CS A234-WPB  ASME   	6	 	S-40	 	"6"" S-40"	7.11	PC	S06650	預製	15		2	2	0	0	0	2	0	2	0	0	0	2	0	2	0	0	0	0	0	0				0	0	0	2	0	2																2						
碳鋼	311	TEE SMLS BW CS A234-WPB  ASME   	4	 	S-40	 	"4"" S-40"	6.02	PC	S06648	預製	11		5	5	0	2	0	3	0	5	0	2	0	3	0	5	0	0	0	0	0	0		10	5	0	2	0	3	0	5								2									3					
碳鋼	311	TEE SMLS BW CS A234-WPB  ASME   	3	 	S-40	 	"3"" S-40"	5.49	PC	S06647	預製	15		12	12	0	5	1	6	0	12	0	5	1	6	0	12	0	-5	-1	-3	0	-9		3	V	0	0	0	3	0	3																	3					
碳鋼	311	TEE SMLS BW CS A234-WPB  ASME   	2	 	S-80	 	"2"" S-80"	5.54	PC	S06685	預製	55		14	14	0	11	0	3	0	14	0	11	0	3	0	14	0	0	0	0	0	0				0	11	0	3	0	14						11										3						
碳鋼	311	TEE SMLS BW CS A234-WPB  ASME  NACE	2	 	S-160	 	"2"" S-160"	8.74	PC	S157818	預製	8		4	4	0	0	4	0	0	4	0	0	4	0	0	4	0	0	0	0	0	0				0	0	4	0	0	4										4												
碳鋼	311	TEE SMLS BW CS A234-WPB  ASME  NACE	2	 	S-80	 	"2"" S-80"	5.54	PC	S155393	預製	7		3	3	0	0	3	0	0	3	0	0	3	0	0	3	0	0	0	0	0	0				0	0	3	0	0	3										3												
碳鋼	311	TEE SMLS BW CS A234-WPB  ASME  NACE	1	 	S-160	 	"1"" S-160"	6.35	PC	S126430	預製	22		21	21	0	0	0	21	0	21	0	0	0	21	0	21	0	0	0	-21	0	-21				0	0	0	0	0	0																						
碳鋼	311	TEE SMLS BW CS A234-WPB  ASME  NACE	0.75	 	XXS	 	"3/4"" XXS"	7.82	PC	S196758	預製	14		1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0				0	0	1	0	0	1													1									
碳鋼	312	REDU. TEE CL3000 SW CS A105  ASME   	1.5	0.75	 	 	"1-1/2"" X 3/4"""		PC	R01455	預製	7		3	3	0	3	0	0	0	3	0	3	0	0	0	3	0	0	0	0	0	0				0	3	0	0	0	3						3																
碳鋼	312	REDU. TEE CL3000 SW CS A105  ASME   	1.5	1	 	 	"1-1/2"" X 1"""		PC	R01456	預製	9		8	8	0	8	0	0	0	8	0	8	0	0	0	8	0	-7	0	0	0	-7				0	1	0	0	0	1						1																
碳鋼	312	REDU. TEE CL3000 SW CS A105  ASME   	1	0.75	 	 	"1"" X 3/4"""		PC	R01452	預製	32		9	8	0	0	6	2	0	8	0	0	6	2	0	8	0	9	-6	-2	0	1				0	9	0	0	0	9						9																
碳鋼	312	REDU. TEE CL3000 SW CS A105  ASME  NACE	1.5	0.75	 	 	"1-1/2"" X 3/4"""		PC	R7198466	預製	5		4	4	0	0	4	0	0	4	0	0	4	0	0	4	0	0	0	0	0	0				0	0	4	0	0	4										4												
